,workoutid,route_prediction,perf_prediction,userid,diff_altitude,geo_distance,heart_rate_avg,speed_avg,elapsed_time,user_avg_speed,user_avg_dist
0,648850318,1,0,777141,1241.0,0.170056059957,151.0,3.49454092979,17012.0,6.59834781715,0.197148312681
1,466379138,1,0,777141,1195.0,0.12637206912,157.0,5.69710731506,7304.0,6.59834781715,0.197148312681
2,638160311,1,0,777141,1208.0,0.173314318061,151.0,5.86134433746,9906.0,6.59834781715,0.197148312681
3,413162801,1,0,777141,622.0,0.220686927438,142.0,8.29376220703,9118.0,6.59834781715,0.197148312681
4,375807698,1,0,777141,1084.0,0.119585588574,150.0,5.47458553314,7352.0,6.59834781715,0.197148312681
5,422570987,1,0,777141,1121.0,0.292185842991,155.0,6.03342056274,18824.0,6.59834781715,0.197148312681
6,324948165,1,0,777141,626.0,0.218160390854,150.0,8.49022483826,9074.0,6.59834781715,0.197148312681
7,514509735,1,0,777141,1202.0,0.159466937184,139.0,5.63744688034,9648.0,6.59834781715,0.197148312681
8,528157774,1,0,777141,1092.7779541,0.161988049746,138.339004517,6.58133077621,9043.0,6.59834781715,0.197148312681
9,405036254,1,0,777141,1093.0,0.206432908773,139.0,6.71803092957,10353.0,6.59834781715,0.197148312681
10,565680139,1,0,777141,1139.91796875,0.17069786787,128.0,5.07223892212,14468.0,6.59834781715,0.197148312681
11,647992800,1,0,777141,982.989990234,0.232230946422,141.0,7.97588253021,9465.0,6.59834781715,0.197148312681
12,368679032,1,0,777141,1074.0,0.231955632567,133.0,5.52472734451,14315.0,6.59834781715,0.197148312681
13,515312567,1,0,777141,1124.0,0.117117933929,126.0,5.35197544098,8273.0,6.59834781715,0.197148312681
14,541964289,1,2,777141,812.0,0.532236278057,160.0,10.2238464355,17789.0,6.59834781715,0.197148312681
15,465019241,1,0,777141,1229.0,0.152263760567,138.0,6.38495397568,11824.0,6.59834781715,0.197148312681
16,442326490,1,0,777141,630.0,0.213536977768,132.0,7.80360221863,9509.0,6.59834781715,0.197148312681
17,416198614,1,0,777141,673.0,0.246865451336,148.0,6.87736558914,12279.0,6.59834781715,0.197148312681
18,504944124,1,0,777141,963.0,0.0782920643687,150.0,4.1823925972,6987.0,6.59834781715,0.197148312681
19,311586943,1,0,777141,608.0,0.216548100114,144.0,7.9908823967,9213.0,6.59834781715,0.197148312681
20,411116924,1,0,777141,1107.0,0.190164104104,146.0,6.97432327271,8890.0,6.59834781715,0.197148312681
21,456471641,1,0,777141,623.0,0.14786978066,142.0,6.3749499321,7505.0,6.59834781715,0.197148312681
22,482744557,1,0,777141,763.0,0.0881104469299,134.0,3.51530909538,8634.0,6.59834781715,0.197148312681
23,365947751,1,0,777141,1164.0,0.110102169216,147.0,5.43215703964,7145.0,6.59834781715,0.197148312681
24,536674022,1,0,777141,954.0,0.202528402209,145.0,7.02725458145,10076.0,6.59834781715,0.197148312681
25,510643550,1,0,777141,1036.0,0.200851038098,147.0,6.61507987976,9588.0,6.59834781715,0.197148312681
26,439739117,1,0,777141,624.0,0.176554113626,140.0,8.02921390533,7314.0,6.59834781715,0.197148312681
27,445155275,1,2,777141,1049.0,0.363978594542,157.0,11.1157894135,11684.0,6.59834781715,0.197148312681
28,387391145,1,2,6601602,647.400024414,0.128904119134,149.442001343,9.66204071045,5398.0,8.15209039052,0.255108272036
29,493677343,1,0,6601602,915.400024414,0.316106498241,130.494995117,6.95363759995,16731.0,8.15209039052,0.255108272036
30,490091269,1,0,6601602,750.0,0.320314198732,135.214004517,7.84059286118,15078.0,8.15209039052,0.255108272036
31,476901754,1,2,2582984,825.255981445,0.130300685763,137.869003296,12.1024045944,3867.0,11.2095146179,0.209589074055
32,468986105,1,2,2582984,929.955993652,0.328840106726,136.869003296,10.7646474838,10063.0,11.2095146179,0.209589074055
33,453932066,1,2,2582984,845.37298584,0.169626429677,149.0,10.7614917755,5468.0,11.2095146179,0.209589074055
34,210069528,1,0,368603,1161.75,0.420752435923,134.462005615,6.52066421509,23655.0,6.52066421509,0.420752435923
35,449496443,1,1,13099479,1177.59997559,0.30273643136,0.0,6.21678686142,19999.0,6.21678686142,0.30273643136
36,5516024,1,2,5844,824.810791016,0.151957556605,148.354995728,11.3506813049,3929.0,11.3506813049,0.151957556605
37,466532669,1,0,12080152,765.0,0.0954735651612,133.0,8.84951496124,4024.0,8.84951496124,0.0954735651612
38,612306247,1,2,358670,796.0,0.406654536724,169.0,12.5661277771,12109.0,12.5661277771,0.406654536724
39,500124486,1,0,3575734,605.0,0.217409268022,144.832992554,7.76693201065,10737.0,7.76693201065,0.217409268022
40,334957133,1,0,11183643,602.799987793,0.149396285415,109.512001038,7.20160055161,8256.0,7.20160055161,0.149396285415
41,564076438,1,2,5180701,1147.59997559,0.115494005382,147.0,12.2858304977,2808.0,12.2858304977,0.115494005382
42,101232217,1,0,1063624,705.799987793,0.0613571517169,115.369003296,4.44599485397,4416.0,8.18324136734,0.136161385725
43,644586951,1,2,1063624,618.200012207,0.249491021037,133.0,10.384346962,8080.0,8.18324136734,0.136161385725
44,190699217,1,2,1063624,773.599975586,0.0976359844208,171.0,9.71938228607,2915.0,8.18324136734,0.136161385725
45,474959529,1,2,4009109,658.599975586,0.17232465744,153.0,12.56690979,4115.0,12.56690979,0.17232465744
46,619454831,1,2,818925,951.599975586,0.269623696804,159.0,10.0379447937,7606.0,10.0379447937,0.269623696804
47,298760634,1,2,3275003,701.200012207,0.196006089449,153.983001709,12.7840518951,5023.0,12.7840518951,0.196006089449
48,482132671,1,2,2164708,1023.00006104,0.268049091101,151.0,12.2247200012,6062.0,12.2247200012,0.268049091101
49,619905866,1,0,2071522,905.199951172,0.195509582758,121.0,5.80280256271,10619.0,5.80280256271,0.195509582758
50,526729047,1,0,9313150,824.799987793,0.0341699756682,134.0,6.52158737183,5718.0,6.52158737183,0.0341699756682
51,514344730,1,0,791908,844.799987793,0.120972216129,135.0,5.56286001205,7764.0,5.56286001205,0.120972216129
52,91701373,1,0,5197,912.400024414,0.35621547699,121.656997681,5.46083307266,23390.0,5.46083307266,0.35621547699
53,587094947,1,0,9232852,1033.80004883,0.250071167946,138.0,6.216152668,12817.0,6.216152668,0.250071167946
54,461524072,1,2,2636715,629.200012207,0.106030374765,159.0,10.1274776459,3204.0,10.1274776459,0.106030374765
55,206356671,1,0,2333172,664.91998291,0.201051160693,136.0,7.35390996933,9324.0,7.79419740041,0.165013400217
56,230273806,1,0,2333172,696.0,0.0535604283214,132.557998657,8.29375648499,2075.0,7.79419740041,0.165013400217
57,290169645,1,0,2333172,786.0,0.240428611636,148.0,7.73492574692,10300.0,7.79419740041,0.165013400217
58,315082299,1,2,6194859,716.100036621,0.236920535564,136.0,12.2878513336,7614.0,12.2878513336,0.236920535564
59,316671268,1,0,2484383,670.51940918,0.262882500887,159.0,6.82271289825,13072.0,6.82271289825,0.262882500887
